value,timestamp
-14,287500
-17,287501
-18,287502
-13,287503
-14,287504
-14,287505
-14,287506
-14,287507
-17,287508
-15,287509
-16,287510
-14,287511
-13,287512
-14,287513
-13,287514
-14,287515
-16,287516
-15,287517
-14,287518
-14,287519
-14,287520
-13,287521
-14,287522
-14,287523
-14,287524
-17,287525
-14,287526
-14,287527
-14,287528
-16,287529
-14,287530
-14,287531
-14,287532
-16,287533
-14,287534
-17,287535
-14,287536
-14,287537
-14,287538
-14,287539
-14,287540
-17,287541
-17,287542
-14,287543
-14,287544
-14,287545
-14,287546
-14,287547
-14,287548
-17,287549
-13,287550
-15,287551
-14,287552
-14,287553
-14,287554
-14,287555
-14,287556
-17,287557
-14,287558
-14,287559
-14,287560
-16,287561
-14,287562
-14,287563
-14,287564
-16,287565
-14,287566
-14,287567
-15,287568
-14,287569
-14,287570
-14,287571
-14,287572
-15,287573
-14,287574
-15,287575
-14,287576
-14,287577
-14,287578
-14,287579
-13,287580
-13,287581
-14,287582
-14,287583
-14,287584
-15,287585
-14,287586
-14,287587
-17,287588
-17,287589
-15,287590
-14,287591
-14,287592
-14,287593
-16,287594
-14,287595
-14,287596
-13,287597
-15,287598
-14,287599
-14,287600
-14,287601
-14,287602
-14,287603
-14,287604
-14,287605
-15,287606
-13,287607
-14,287608
-14,287609
-14,287610
-15,287611
-14,287612
-14,287613
-16,287614
-14,287615
-13,287616
-14,287617
-14,287618
-14,287619
-15,287620
-14,287621
-15,287622
-14,287623
-14,287624
-14,287625
-14,287626
-14,287627
-16,287628
-14,287629
-14,287630
-14,287631
-14,287632
-14,287633
-14,287634
-14,287635
-16,287636
-14,287637
-18,287638
-14,287639
-18,287640
-16,287641
-15,287642
-14,287643
-14,287644
-15,287645
-14,287646
-15,287647
-15,287648
-15,287649
-14,287650
-13,287651
-14,287652
-14,287653
-17,287654
-14,287655
-15,287656
-14,287657
-14,287658
-14,287659
-16,287660
-14,287661
-14,287662
-14,287663
-14,287664
-14,287665
-14,287666
-16,287667
-14,287668
-17,287669
-15,287670
-14,287671
-15,287672
-18,287673
-15,287674
-15,287675
-14,287676
-15,287677
-15,287678
-15,287679
-14,287680
-14,287681
-14,287682
-14,287683
-15,287684
-14,287685
-16,287686
-14,287687
-14,287688
-14,287689
-14,287690
-15,287691
-14,287692
-14,287693
-16,287694
-14,287695
-14,287696
-14,287697
-15,287698
-14,287699
-15,287700
-14,287701
-15,287702
-14,287703
-14,287704
-14,287705
-17,287706
-17,287707
-14,287708
-15,287709
-14,287710
-13,287711
-15,287712
