value,timestamp
6137,69780
8,69781
8,69782
63,69783
-64,69784
9,69785
-11,69786
-21,69787
27,69788
-9,69789
-35,69790
127,69791
-46,69792
-3,69793
9,69794
8,69795
65,69796
-14,69797
-12,69798
67,69799
-83,69800
-23,69801
-10,69802
-36,69803
65,69804
-49,69805
17,69806
-14,69807
16,69808
-11,69809
8,69810
8,69811
76,69812
-64,69813
29,69814
9,69815
-16,69816
95,69817
-60,69818
-33,69819
-14,69820
-32,69821
53,69822
-29,69823
31,69824
67,69825
-39,69826
11,69827
-10,69828
-39,69829
8,69830
-32,69831
-15,69832
-11,69833
37,69834
-3,69835
-10,69836
88,69837
-45,69838
31,69839
47,69840
-38,69841
64,69842
-37,69843
9,69844
47,69845
-15,69846
2,69847
5,69848
9,69849
109,69850
-70,69851
31,69852
67,69853
-39,69854
47,69855
-10,69856
-13,69857
108,69858
-23,69859
-16,69860
-15,69861
-11,69862
16,69863
-1,69864
11,69865
87,69866
-39,69867
19,69868
-9,69869
-34,69870
86,69871
-4,69872
-5,69873
-11,69874
8,69875
73,69876
-61,69877
-11,69878
110,69879
-62,69880
11,69881
-30,69882
-36,69883
105,69884
-76,69885
-39,69886
8,69887
-31,69888
65,69889
-69,69890
31,69891
5,69892
-37,69893
85,69894
-23,69895
5,69896
46,69897
8,69898
-2,69899
-39,69900
-10,69901
-10,69902
-17,69903
104,69904
-57,69905
-33,69906
-14,69907
24,69908
108,69909
17,69910
-8,69911
-11,69912
-13,69913
73,69914
-61,69915
-11,69916
-11,69917
-42,69918
31,69919
64,69920
-81,69921
29,69922
9,69923
-36,69924
62,69925
-25,69926
-11,69927
46,69928
9,69929
2,69930
-20,69931
10,69932
109,69933
-40,69934
10,69935
11,69936
-36,69937
106,69938
-70,69939
-37,69940
121,69941
-10,69942
-16,69943
65,69944
-49,69945
-14,69946
6,69947
-11,69948
51,69949
-20,69950
7,69951
-1,69952
6,69953
9,69954
96,69955
-86,69956
-2,69957
-10,69958
-36,69959
65,69960
-50,69961
-15,69962
125,69963
-31,69964
52,69965
-38,69966
11,69967
12,69968
-86,69969
84,69970
45,69971
-88,69972
52,69973
68,69974
-36,69975
106,69976
-15,69977
-16,69978
7,69979
-31,69980
43,69981
-11,69982
-11,69983
77,69984
-66,69985
50,69986
65,69987
-36,69988
101,69989
-12,69990
-31,69991
-15,69992
10,69993
14,69994
-42,69995
-10,69996
43,69997
-40,69998
11,69999
86,70000
-38,70001
83,70002
51,70003
-13,70004
102,70005
-32,70006
-31,70007
-15,70008
11,70009
34,70010
-22,70011
51,70012
98,70013
-57,70014
19,70015
32,70016
-35,70017
107,70018
-4,70019
-42,70020
-12,70021
-11,70022
67,70023
-76,70024
12,70025
63,70026
-36,70027
84,70028
-23,70029
-12,70030
46,70031
27,70032
0,70033
-16,70034
-31,70035
83,70036
-66,70037
40,70038
111,70039
-60,70040
-40,70041
98,70042
-68,70043
-52,70044
85,70045
8,70046
-63,70047
46,70048
23,70049
-49,70050
88,70051
79,70052
-64,70053
11,70054
118,70055
-44,70056
-32,70057
73,70058
1,70059
-43,70060
69,70061
69,70062
-34,70063
93,70064
89,70065
-89,70066
12,70067
101,70068
-28,70069
-32,70070
106,70071
49,70072
-38,70073
100,70074
49,70075
-59,70076
60,70077
71,70078
-56,70079
27,70080
98,70081
-55,70082
-10,70083
99,70084
-28,70085
-34,70086
102,70087
81,70088
-61,70089
71,70090
81,70091
-90,70092
58,70093
92,70094
-98,70095
36,70096
99,70097
-30,70098
-45,70099
117,70100
40,70101
-51,70102
42,70103
86,70104
-102,70105
-11,70106
99,70107
-11,70108
-24,70109
98,70110
78,70111
-88,70112
62,70113
72,70114
-58,70115
0,70116
98,70117
-66,70118
-33,70119
82,70120
-23,70121
-57,70122
59,70123
43,70124
-74,70125
90,70126
74,70127
-49,70128
25,70129
124,70130
-25,70131
-37,70132
93,70133
-57,70134
-33,70135
121,70136
2,70137
-25,70138
78,70139
38,70140
-59,70141
98,70142
92,70143
-59,70144
25,70145
74,70146
-14,70147
-30,70148
79,70149
-15,70150
-63,70151
39,70152
27,70153
-82,70154
82,70155
54,70156
-48,70157
30,70158
106,70159
-65,70160
-54,70161
95,70162
-37,70163
-39,70164
-78,70165
-23,70166
96,70167
-43,70168
-41,70169
126,70170
56,70171
-96,70172
74,70173
33,70174
-91,70175
67,70176
95,70177
-56,70178
24,70179
130,70180
-41,70181
-7,70182
101,70183
-29,70184
-37,70185
87,70186
77,70187
-73,70188
56,70189
71,70190
-56,70191
78,70192
86,70193
-102,70194
10,70195
95,70196
-39,70197
-41,70198
114,70199
43,70200
13,70201
109,70202
-43,70203
-22,70204
141,70205
-19,70206
-29,70207
107,70208
86,70209
-66,70210
71,70211
98,70212
-43,70213
22,70214
101,70215
-49,70216
-24,70217
114,70218
42,70219
-64,70220
81,70221
83,70222
-31,70223
75,70224
74,70225
-20,70226
-8,70227
116,70228
-19,70229
25,70230
78,70231
16,70232
17,70233
49,70234
56,70235
-57,70236
52,70237
101,70238
-70,70239
10,70240
120,70241
-3,70242
-14,70243
112,70244
91,70245
-44,70246
58,70247
79,70248
-65,70249
8,70250
124,70251
-19,70252
-18,70253
67,70254
14,70255
-9,70256
88,70257
12,70258
-38,70259
77,70260
65,70261
-46,70262
13,70263
95,70264
-64,70265
-9,70266
69,70267
-23,70268
-71,70269
62,70270
54,70271
-57,70272
58,70273
90,70274
-86,70275
-3,70276
122,70277
-35,70278
-13,70279
116,70280
47,70281
-68,70282
34,70283
72,70284
-66,70285
26,70286
121,70287
-25,70288
-21,70289
112,70290
-61,70291
-79,70292
19,70293
95,70294
-35,70295
31,70296
118,70297
19,70298
33,70299
87,70300
14,70301
-4,70302
89,70303
98,70304
-42,70305
53,70306
122,70307
-28,70308
12,70309
101,70310
-41,70311
19,70312
107,70313
35,70314
-22,70315
61,70316
96,70317
-33,70318
36,70319
118,70320
-2,70321
-16,70322
96,70323
90,70324
-26,70325
51,70326
88,70327
-20,70328
45,70329
118,70330
-46,70331
1,70332
124,70333
36,70334
-3,70335
109,70336
96,70337
-40,70338
53,70339
79,70340
-44,70341
-8,70342
102,70343
-61,70344
20,70345
102,70346
35,70347
-20,70348
56,70349
36,70350
-4,70351
93,70352
95,70353
-46,70354
52,70355
144,70356
-29,70357
52,70358
97,70359
-44,70360
28,70361
117,70362
18,70363
15,70364
86,70365
56,70366
-24,70367
53,70368
90,70369
-23,70370
39,70371
119,70372
-71,70373
40,70374
102,70375
17,70376
-22,70377
58,70378
65,70379
-47,70380
48,70381
125,70382
-30,70383
29,70384
141,70385
16,70386
-25,70387
110,70388
115,70389
-58,70390
86,70391
106,70392
-54,70393
30,70394
99,70395
-73,70396
-16,70397
54,70398
-4,70399
-66,70400
51,70401
50,70402
-58,70403
17,70404
109,70405
-41,70406
-18,70407
89,70408
-4,70409
-44,70410
62,70411
35,70412
-48,70413
215,70414
53,70415
-87,70416
136,70417
41,70418
23,70419
-18,70420
101,70421
-3,70422
-56,70423
65,70424
28,70425
-52,70426
52,70427
125,70428
-39,70429
40,70430
99,70431
-45,70432
-60,70433
101,70434
77,70435
-49,70436
42,70437
74,70438
-71,70439
54,70440
89,70441
-71,70442
-5,70443
120,70444
-5,70445
-33,70446
102,70447
-6,70448
-62,70449
34,70450
31,70451
-76,70452
64,70453
83,70454
-48,70455
13,70456
120,70457
-26,70458
-13,70459
109,70460
22,70461
-66,70462
79,70463
70,70464
-82,70465
30,70466
85,70467
-63,70468
0,70469
122,70470
28,70471
-37,70472
82,70473
88,70474
-56,70475
17,70476
138,70477
-62,70478
-17,70479
101,70480
-46,70481
-20,70482
123,70483
47,70484
-42,70485
76,70486
51,70487
-36,70488
65,70489
72,70490
-59,70491
29,70492
102,70493
-111,70494
-20,70495
122,70496
-13,70497
-12,70498
86,70499
-14,70500
-37,70501
49,70502
64,70503
-38,70504
61,70505
88,70506
-27,70507
-22,70508
102,70509
-21,70510
-28,70511
100,70512
44,70513
-66,70514
55,70515
87,70516
-41,70517
48,70518
117,70519
-45,70520
57,70521
123,70522
11,70523
-14,70524
110,70525
46,70526
-37,70527
63,70528
93,70529
-34,70530
54,70531
92,70532
-102,70533
7,70534
101,70535
-7,70536
-39,70537
107,70538
-9,70539
-69,70540
57,70541
109,70542
-34,70543
61,70544
112,70545
-82,70546
87,70547
22,70548
99,70549
-41,70550
-17,70551
109,70552
22,70553
-41,70554
88,70555
70,70556
-32,70557
77,70558
101,70559
-44,70560
-20,70561
96,70562
44,70563
-55,70564
70,70565
87,70566
-77,70567
51,70568
115,70569
-5,70570
-23,70571
71,70572
61,70573
-52,70574
67,70575
91,70576
-13,70577
35,70578
101,70579
-44,70580
-20,70581
77,70582
-80,70583
74,70584
78,70585
15,70586
-22,70587
71,70588
81,70589
-47,70590
54,70591
122,70592
-61,70593
0,70594
94,70595
6,70596
-53,70597
71,70598
115,70599
-44,70600
67,70601
83,70602
-62,70603
-29,70604
51,70605
128,70606
-75,70607
50,70608
110,70609
-6,70610
-2,70611
75,70612
78,70613
-70,70614
98,70615
67,70616
-22,70617
89,70618
105,70619
-59,70620
51,70621
78,70622
35,70623
17,70624
73,70625
21,70626
-45,70627
45,70628
90,70629
-73,70630
58,70631
81,70632
-102,70633
24,70634
136,70635
-41,70636
-51,70637
72,70638
93,70639
-42,70640
65,70641
100,70642
-42,70643
16,70644
69,70645
36,70646
-2,70647
33,70648
77,70649
-29,70650
54,70651
102,70652
-101,70653
23,70654
133,70655
-44,70656
1,70657
85,70658
12,70659
55,70660
113,70661
-26,70662
-41,70663
70,70664
56,70665
-26,70666
33,70667
101,70668
-121,70669
42,70670
136,70671
-40,70672
-30,70673
95,70674
114,70675
-45,70676
26,70677
115,70678
-42,70679
-68,70680
80,70681
20,70682
-13,70683
51,70684
69,70685
-35,70686
73,70687
108,70688
-6,70689
19,70690
57,70691
42,70692
-32,70693
41,70694
73,70695
-23,70696
51,70697
99,70698
-63,70699
-19,70700
84,70701
36,70702
-66,70703
73,70704
61,70705
-26,70706
48,70707
121,70708
-121,70709
1,70710
115,70711
-15,70712
-79,70713
72,70714
94,70715
-23,70716
47,70717
80,70718
-62,70719
3,70720
93,70721
29,70722
-45,70723
85,70724
71,70725
-48,70726
30,70727
102,70728
-102,70729
18,70730
138,70731
-40,70732
-70,70733
92,70734
95,70735
-29,70736
51,70737
90,70738
-97,70739
34,70740
85,70741
-101,70742
-3,70743
56,70744
-45,70745
-21,70746
98,70747
64,70748
-58,70749
63,70750
86,70751
-80,70752
52,70753
79,70754
-6,70755
-83,70756
72,70757
65,70758
-25,70759
68,70760
122,70761
-122,70762
40,70763
136,70764
-17,70765
-78,70766
89,70767
96,70768
-44,70769
54,70770
95,70771
-22,70772
-16,70773
69,70774
0,70775
-64,70776
65,70777
71,70778
-73,70779
36,70780
100,70781
-44,70782
-21,70783
98,70784
43,70785
-37,70786
49,70787
89,70788
-97,70789
115,70790
111,70791
-6,70792
19,70793
76,70794
-9,70795
-40,70796
71,70797
74,70798
-45,70799
70,70800
111,70801
-63,70802
-17,70803
70,70804
-21,70805
99,70806
18,70807
-51,70808
53,70809
67,70810
-34,70811
92,70812
106,70813
-122,70814
-2,70815
114,70816
-16,70817
-79,70818
52,70819
93,70820
-66,70821
46,70822
91,70823
-35,70824
93,70825
107,70826
-6,70827
19,70828
77,70829
42,70830
-59,70831
56,70832
86,70833
-58,70834
51,70835
77,70836
-30,70837
-41,70838
12,70839
56,70840
-28,70841
52,70842
103,70843
-80,70844
25,70845
108,70846
-44,70847
-45,70848
55,70849
60,70850
-47,70851
45,70852
86,70853
-80,70854
58,70855
83,70856
-30,70857
51,70858
98,70859
-62,70860
-17,70861
81,70862
27,70863
-40,70864
35,70865
55,70866
-28,70867
31,70868
83,70869
-81,70870
27,70871
104,70872
-44,70873
-43,70874
52,70875
51,70876
